timestamp,Synthetic Normalized Nitrate,accumulated GDD,accumulated SHU,accumulated NHU,solar_radiation_00209FC8_avg_Lag1H,soil_moisture2_01209E4F_avg_Lag1H,soil_temperature3_01209E4F_avg_Lag1H,air_temperature_multi_sensor_avg_Lag1H,vpd_multi_sensor_avg_Lag1H,relative_humidity_multi_sensor_avg_Lag1H,soil_moisture2_01209E4F_avg_Lag3H,soil_temperature3_01209E4F_avg_Lag3H,soil_moisture2_01209E4F_avg_Lag12H,soil_temperature3_01209E4F_max_Lag12H,soil_temperature3_01209E4F_min_Lag12H,vpd_multi_sensor_avg_Lag12H,precipitation_far_sensors_mean_sum_Lag12H,FN2O_C4_broadcast_side_strip
2021-06-12 12:00:00,135.2976171,215.3205,186.5611111,22.24371126,1069.5,30.9,16.6,24.47,2.2975,24.97,30.9,16.6,30.9,16.6,16.6,2.2975,0,1.74529
2021-06-12 15:00:00,134.7782411,217.369125,188.6965278,22.50816049,1163.5,30.45,16.6,26.0575,2.6725,20.5425,30.425,16.6,30.48,16.6,16.6,2.487,0,2.248131667
2021-06-12 18:00:00,134.2608588,219.41775,190.8319445,22.77575369,163,29.95,16.6,26.31,2.7625,19.065,30.1,16.6,30.25,16.6,16.6,2.585,0,2.35613
2021-06-12 21:00:00,133.7454627,221.466375,192.9673611,23.04652822,40,29.7,16.7,23.65,2.0275,30.47,29.9,16.65,30.09090909,16.8,16.6,2.470454545,0,2.281418333
2021-06-13 00:00:00,133.2320451,223.515,195.1027778,23.32052192,0,28.05,16.8,17.7425,0.925,54.22,28.625,16.775,29.62307692,16.8,16.6,2.180384615,0,2.584545
2021-06-13 03:00:00,132.7205983,225.7965,197.2381944,23.59777305,0,29.05,16.8,13.695,0.5125,67.1825,28.675,16.8,29.3,16.9,16.6,1.729615385,0,2.274063333
2021-06-13 06:00:00,132.2111149,228.078,199.371875,23.86141485,4.5,29.45,16.8,13.0475,0.3825,74.285,29.325,16.8,29.17692308,16.9,16.6,1.186538462,0,1.811276667
2021-06-13 09:00:00,131.7035872,230.3595,201.5046875,24.11945949,309,29.3,16.75,17.78,0.6875,66.1275,29.4,16.775,29.03846154,16.9,16.7,0.761153846,0,1.741251667
2021-06-13 12:00:00,131.1980078,232.641,203.6375,24.3802947,1011.5,30.45,16.6,25.79,2.135,35.56,29.925,16.625,29.35384615,16.9,16.6,0.866153846,0,1.868831667
2021-06-13 15:00:00,130.6943693,234.9225,205.7703125,24.64395066,659.5,28.95,16.6,27.815,2.45,34.3675,29.825,16.6,29.58461538,16.9,16.6,1.265769231,0,2.474396667
2021-06-13 18:00:00,130.1926641,237.204,207.903125,24.91045788,162,27.6,16.6,26.945,2.0975,40.7975,27.625,16.6,29.2,16.8,16.6,1.676538462,0,2.371323333
2021-06-13 21:00:00,129.6928848,239.4855,210.0359375,25.17984719,25,28.7,16.7,24.9475,1.68,46.7275,28.275,16.65,28.96923077,16.8,16.6,1.973461538,0,2.29284
2021-06-14 00:00:00,129.195024,241.767,212.16875,25.45214976,0,29.3,16.8,20.69,0.8625,64.65,29,16.775,28.82307692,16.8,16.6,1.877692308,0.4,2.340533333
2021-06-14 03:00:00,128.6990745,244.07775,214.3015625,25.72739709,0,28.7,16.85,18.885,0.415,80.68,28.975,16.825,28.44615385,16.9,16.6,1.404230769,0.6,1.92857
2021-06-14 06:00:00,128.2050287,246.3885,216.4631944,26.00279792,0,28.35,16.9,18.09,0.165,91.545,28.2,16.9,28.56923077,16.9,16.6,0.923846154,1,1.690416667
2021-06-14 09:00:00,127.7128795,248.69925,218.6392361,26.27972025,269,29.2,16.9,19.2075,0.3625,83.445,29.225,16.9,28.86923077,16.9,16.7,0.541923077,1,1.71966
2021-06-14 12:00:00,127.2226195,251.01,220.8152778,26.55959172,406.5,29.5,16.9,21.46,0.5675,77.66,29.6,16.9,29.03846154,16.9,16.8,0.365,1,1.885153333
2021-06-14 15:00:00,126.7342415,253.32075,222.9913194,26.84244374,101.5,29.8,16.9,21.95,0.6775,73.9575,29.6,16.9,29.18461538,16.9,16.9,0.432307692,0.5,2.109215
2021-06-14 18:00:00,126.2477383,255.6315,225.1673611,27.12830805,132.5,29.7,16.9,19.3175,0.2325,89.3,29.8,16.9,29.6,17,16.9,0.393076923,2.3,1.912168333
2021-06-14 21:00:00,125.7631027,257.94225,227.3434028,27.41721674,7.5,29.1,17,17.6575,0.0825,95.41,29.175,16.975,29.56153846,17,16.9,0.376538462,2.5,2.1974
2021-06-15 00:00:00,125.2803275,260.253,229.5194444,27.70920222,0,28.45,17,17.365,0.005,99.1375,28.525,17,29.23846154,17,16.9,0.292692308,2.8,2.0737
2021-06-15 03:00:00,124.7994055,262.1205,231.6954861,28.00429726,0,28.85,17,16.54,0,99.99,28.675,17,29.05384615,17,16.9,0.125,3.3,2.471405
2021-06-15 06:00:00,124.3203297,263.988,233.8565972,28.2803892,0,28.9,17,15.6175,0,99.99,28.85,17,28.84615385,17,16.9,0.06,1,2.047853333
2021-06-15 09:00:00,123.8430929,265.8555,236.010243,28.54802763,162,29,17,17.2925,0.1025,94.4,28.825,17,28.74615385,17,17,0.020384615,0.9,1.824918333
2021-06-15 12:00:00,123.3676882,267.723,238.1638889,28.81819891,249.5,29.75,17,14.4975,0.16,89.83,29.375,17,28.98461538,17,17,0.053846154,1.1,1.81918
2021-06-15 15:00:00,122.8941084,269.5905,240.3175347,29.09092703,393,29.15,17,16.4975,0.425,77.1,29.7,17,29.19230769,17,17,0.146538462,1,1.940173333
2021-06-15 18:00:00,122.4223465,271.458,242.4711805,29.36623617,181.5,29.25,17,22.7675,1.77,35.94,29.2,17,29.26153846,17,17,0.486538462,0.9,1.963828333
2021-06-15 21:00:00,121.9523957,273.3255,244.6248264,29.64415077,27,28.85,16.95,20.4975,1.7575,26.9825,29.125,16.975,29.30769231,17,16.9,0.910384615,0.9,1.885865
2021-06-16 00:00:00,121.4842489,275.193,246.7784722,29.92469549,0,28.6,17,15.8625,1.0875,39.255,28.75,17,29.21538462,17,16.9,1.142692308,0.5,1.666211667
2021-06-16 03:00:00,121.0178992,276.606,248.9321181,30.20789521,0,30.7,16.9,12.5675,0.6525,54.7725,29.675,16.95,29.25384615,17,16.9,1.233076923,0.3,1.597883333
2021-06-16 06:00:00,120.5533397,278.019,251.0263889,30.45640834,9,30,16.8,11.2225,0.4775,63.31,29.875,16.85,29.36923077,17,16.8,1.128076923,0,1.325328333
2021-06-16 09:00:00,120.0905635,279.432,253.0909722,30.68814617,569,30.85,16.75,12.78,0.6225,57.165,30.875,16.775,29.73846154,17,16.7,0.812307692,0,1.354693333
2021-06-16 12:00:00,119.6295638,280.845,255.1555556,30.92164727,1100,31.65,16.6,16.55,0.9875,47.1775,31.25,16.65,30.35384615,17,16.6,0.705,0,1.596375
2021-06-16 15:00:00,119.1703338,282.258,257.2201389,31.15692503,1158.5,30,16.5,19.87,1.4675,36.49,30.6,16.55,30.56153846,16.9,16.5,0.825769231,0,2.205966667
2021-06-16 18:00:00,118.7128667,283.671,259.2847222,31.39399299,147,30.05,16.5,21.195,1.7475,30.285,29.95,16.5,30.65384615,16.8,16.5,1.090769231,0,2.210008333
2021-06-16 21:00:00,118.2571557,285.084,261.3493056,31.63286476,48.5,29.75,16.5,19.595,1.545,32.1225,29.725,16.5,30.33846154,16.8,16.5,1.344230769,0,2.194455
2021-06-17 00:00:00,117.803194,286.497,263.4138889,31.87355406,0,31.5,16.6,14.7225,0.8675,47.9225,30.9,16.55,30.39230769,16.6,16.5,1.389615385,0,2.212416667
2021-06-17 03:00:00,117.350975,288.39375,265.4784723,32.11607473,0,29.65,16.6,12.31,0.595,57.73,30.45,16.6,30.16153846,16.6,16.5,1.247692308,0,1.618808333
2021-06-17 06:00:00,116.900492,290.2905,267.5326389,32.34758902,9.5,29.55,16.5,10.07,0.435,64.055,29.825,16.525,30.13846154,16.6,16.5,0.989230769,0,1.440168333
2021-06-17 09:00:00,116.4517382,292.18725,269.5815972,32.57430197,569,29.25,16.45,14.885,0.845,49.94,29.525,16.475,30.08461538,16.6,16.4,0.760769231,0,1.338151667
2021-06-17 12:00:00,116.0047072,294.084,271.6305556,32.80260388,1103.5,29.1,16.3,21.44,1.785,30.045,29.025,16.325,29.76923077,16.6,16.3,0.868076923,0,1.639016667
2021-06-17 15:00:00,115.5593921,295.98075,273.6795139,33.03250588,1182,29.65,16.3,24.46,2.3825,22.05,29.65,16.3,29.56923077,16.6,16.3,1.226923077,0,2.22439
2021-06-17 18:00:00,115.1157866,297.8775,275.7284722,33.26401919,74.5,31.65,16.3,26.3375,2.6825,21.615,30.8,16.3,29.86923077,16.5,16.3,1.722692308,0,2.522323333
2021-06-17 21:00:00,114.6738839,299.77425,277.7774305,33.49715508,27,31.3,16.3,22.685,1.68,39.025,31.675,16.3,30.31538462,16.4,16.3,2.051538462,0,2.362668333
2021-06-18 00:00:00,114.2336776,301.671,279.8263889,33.73192495,0,29.1,16.5,18.1225,1.05,49.1125,29.5,16.425,30.33076923,16.5,16.3,2.002307692,0,2.029306667
2021-06-18 03:00:00,113.7951611,303.285375,281.8753472,33.96834023,0,30.8,16.5,16.1275,0.93,48.785,30.325,16.5,30.50769231,16.6,16.3,1.741538462,0,1.90666
2021-06-18 06:00:00,113.358328,304.89975,283.9451389,34.20545396,13,32.05,16.6,13.4275,0.43,71.5675,31.175,16.575,30.69230769,16.6,16.3,1.260384615,0,1.72591
2021-06-18 09:00:00,112.9231718,306.514125,286.0253472,34.44374024,235,32.2,16.5,17.6425,0.7575,62.1125,32.35,16.55,30.75384615,16.6,16.3,0.869230769,0,1.72016
2021-06-18 12:00:00,112.4896861,308.1285,288.1055555,34.68368651,326,30.7,16.5,19.595,0.7875,65.78,31.25,16.5,31.12307692,16.6,16.5,0.751153846,0.2,1.985275
2021-06-18 15:00:00,112.0578644,309.742875,290.1857639,34.92530432,133,33.25,16.5,18.4225,0.36,82.9625,31.95,16.5,31.72307692,16.6,16.5,0.64,2.1,1.921176667
2021-06-18 18:00:00,111.6277004,311.35725,292.2659722,35.16860531,76,35.65,16.5,17.695,0,99.9475,35.175,16.5,32.92307692,16.6,16.5,0.488076923,18.5,2.069466667
2021-06-18 21:00:00,111.1991877,312.971625,294.3461805,35.41360123,6.5,34.45,16.5,17.44,0.015,98.845,34.975,16.5,33.46153846,16.5,16.5,0.359230769,19.5,5.454661667
2021-06-19 00:00:00,110.7723199,314.586,296.4263889,35.66030386,0,34.7,16.5,17.5075,0.015,98.995,34.5,16.5,34.10769231,16.5,16.5,0.203076923,26.3,6.898693333
2021-06-19 03:00:00,110.3470908,316.884375,298.5065972,35.9087251,0,33.6,16.6,16.3275,0,99.8525,33.925,16.55,34.59230769,16.6,16.5,0.021923077,26.1,9.327155
2021-06-19 06:00:00,109.9234941,319.18275,300.6302083,36.16822244,5.5,34.7,16.6,14.885,0,99.9825,34.425,16.6,34.49230769,16.6,16.5,0.009230769,13.5,11.01295
2021-06-19 09:00:00,109.5015234,321.481125,302.7755208,36.4343025,495.5,35.8,16.6,19.5725,0.535,76.95,35.35,16.6,34.47692308,16.6,16.5,0.086923077,7.6,13.78665
2021-06-19 12:00:00,109.0811726,323.7795,304.9208333,36.70234004,894.5,35.95,16.6,23.3275,1.34,52.9525,36.5,16.6,34.95384615,16.6,16.5,0.376538462,1.4,14.10698333
2021-06-19 15:00:00,108.6624354,326.077875,307.0661458,36.97234946,930,35.75,16.6,24.4325,1.615,46.9625,35.75,16.6,35.36153846,16.6,16.6,0.741923077,0.2,15.10531667
2021-06-19 18:00:00,108.2453056,328.37625,309.2114583,37.24434527,77.5,35.75,16.65,25.8325,1.965,40.695,35.4,16.625,35.73076923,16.7,16.6,1.19,0.2,14.28008333
2021-06-19 21:00:00,107.8297771,330.674625,311.3567708,37.51834208,25.5,35.25,16.8,23.8575,1.6325,44.775,35.475,16.75,35.83076923,16.8,16.6,1.567692308,0,13.4235
2021-06-20 00:00:00,107.4158438,332.973,313.5020833,37.79435461,0,34.45,16.95,20.07,0.86,68.7775,34.975,16.875,35.39230769,17,16.6,1.52,0,14.01958333
2021-06-20 03:00:00,107.0034994,335.49975,315.6473958,38.07239769,0,32.8,17,16.405,0.13,92.585,33.15,17,34.65384615,17,16.6,1.213461538,0,12.85625
2021-06-20 06:00:00,106.5927379,338.0265,317.8326389,38.36026698,7.5,34.3,17,14.705,0.055,96.305,33.575,17,34.3,17,16.7,0.804230769,0,11.04539333
2021-06-20 09:00:00,106.1835532,340.55325,320.0378472,38.65423325,537.5,34.05,17,20.065,0.695,70.41,34.525,17,34.02307692,17,16.8,0.481923077,0,7.984815
2021-06-20 12:00:00,105.7759393,343.08,322.2430556,38.95045227,1069.5,32.7,17,24.24,1.27,57.965,33.55,17,33.56923077,17,17,0.546923077,0,8.93037
2021-06-20 15:00:00,105.3698901,345.60675,324.4482639,39.24894131,843.5,33,17,26.76,1.945,44.455,32.975,17,33.56153846,17,17,0.836153846,0,11.65071667
2021-06-20 18:00:00,104.9653997,348.1335,326.6534722,39.54971775,210.5,31.8,17.05,27.48,2.275,37.71,32.35,17.025,33.33846154,17.1,17,1.320769231,0,11.2567
2021-06-20 21:00:00,104.562462,350.66025,328.8586806,39.85279914,34,32.35,17.15,24.945,1.54,51.37,32.25,17.125,32.83846154,17.2,17,1.666923077,0,10.96771667
2021-06-21 00:00:00,104.1610711,353.187,331.0638889,40.15820313,0,35.2,17.3,19.58,0.64,71.535,34.2,17.25,33.04615385,17.3,17,1.601538462,0,10.16016667
2021-06-21 03:00:00,103.761221,355.9905,333.2690973,40.46594753,0,35.4,17.35,17.12,0.325,82.81,35.125,17.325,33.57692308,17.4,17,1.328461538,0,10.64086667
2021-06-21 06:00:00,103.3629059,358.794,335.5076389,40.78073417,3,35.8,17.4,17.675,0.355,81.815,35.7,17.4,34.32307692,17.4,17.1,0.927692308,0,7.46852
2021-06-21 09:00:00,102.9661198,361.5975,337.7628472,41.10032992,109,37.4,17.4,18.775,0.08,95.93,36.525,17.4,35.36923077,17.4,17.2,0.486923077,7,5.991251667
2021-06-21 12:00:00,102.5708569,364.401,340.0180556,41.42243033,450,37.2,17.3,23.26,0.45,84.1825,37.275,17.325,36.14615385,17.4,17.3,0.354615385,7,8.468971667
2021-06-21 15:00:00,102.1771112,367.2045,342.2732639,41.74705501,653.5,36.15,17.3,25.6425,0.68,79.85,36.7,17.3,36.49230769,17.4,17.3,0.369615385,8.2,9.614515
2021-06-21 18:00:00,101.7848771,370.008,344.5284722,42.07422375,123,34.95,17.4,28.585,1.63,58.0575,35.65,17.375,36.45384615,17.5,17.3,0.641153846,8.2,13.61536667
2021-06-21 21:00:00,101.3941487,372.8115,346.7836805,42.40395649,36,34.35,17.5,24.1525,0.75,75.205,34.425,17.475,35.96923077,17.5,17.3,0.82,1.3,12.63878333
2021-06-22 00:00:00,101.0049202,375.615,349.0388889,42.73627332,0,37.35,17.6,22.0225,0.7675,70.91,35.7,17.55,35.70769231,17.6,17.3,0.928461538,1.2,11.41858333
2021-06-22 03:00:00,100.6171859,376.909875,351.2940972,43.0711945,0,35.6,17.7,15.315,0.33,80.715,36.8,17.65,35.62307692,17.8,17.3,0.910384615,0.1,9.659411667
2021-06-22 06:00:00,100.23094,378.20475,353.5125,43.3771138,0.5,34.5,17.8,11.545,0.255,80.735,34.5,17.775,35.33846154,17.8,17.4,0.674615385,0,7.778073333
2021-06-22 09:00:00,99.84617675,379.499625,355.7125,43.66928901,367,34.65,17.7,11.13,0.355,72.505,34.4,17.75,35.33846154,17.8,17.5,0.433461538,0,6.480931667
2021-06-22 12:00:00,99.46289056,380.7945,357.9125,43.96343223,758,34,17.6,14.84,0.705,57.96,34.4,17.65,35.16923077,17.8,17.6,0.440769231,0,7.001443333
2021-06-22 15:00:00,99.08107571,382.089375,360.1125,44.25955671,496.5,33.75,17.55,15.835,0.79,55.53,33.625,17.575,34.23846154,17.8,17.5,0.486153846,0,7.63277
2021-06-22 18:00:00,98.70072656,383.38425,362.3125,44.55767579,280,33.7,17.5,16.49,0.92,50.6,33.875,17.5,34.09230769,17.8,17.5,0.628461538,0,7.403691667
2021-06-22 21:00:00,98.32183748,384.679125,364.5125,44.85780291,50.5,34.6,17.5,15.79,0.945,46.96,34.025,17.5,34.07692308,17.8,17.5,0.780769231,0,6.852223333
2021-06-23 00:00:00,97.94440287,385.974,366.7125,45.1599516,0,35.15,17.4,10.67,0.37,71.14,35,17.425,34.16923077,17.6,17.4,0.759230769,0,6.82425
2021-06-23 03:00:00,97.56841714,387.345375,368.9125,45.46413547,0,36.5,17.3,6.605,0.065,92.46,35.7,17.35,34.69230769,17.5,17.3,0.597692308,0,5.928205
