timestamp,FN2O_C1_broadcast_side_strip,FN2O_C2_broadcast_middle_strip,FN2O_C3_conventional_strip_till
2022-07-29 00:00:00,36.672,31.4592,8.37226
2022-07-29 00:30:00,39.9857,31.4108,8.45931
2022-07-29 01:00:00,36.7865,30.7634,8.39562
2022-07-29 01:30:00,37.0927,29.6061,8.44553
2022-07-29 02:00:00,38.0049,30.1946,7.81212
2022-07-29 02:30:00,35.7032,28.8665,7.40082
2022-07-29 03:00:00,37.0292,27.8517,7.37191
2022-07-29 03:30:00,37.0515,27.7939,7.16059
2022-07-29 04:00:00,32.4264,26.203,6.71505
2022-07-29 04:30:00,31.8605,25.4444,6.38434
2022-07-29 05:00:00,32.9719,25.6301,6.17311
2022-07-29 05:30:00,32.8964,24.2208,5.71939
2022-07-29 06:00:00,32.5052,24.0759,5.52088
2022-07-29 06:30:00,32.5326,23.1911,5.3494
2022-07-29 07:00:00,31.8159,23.4356,5.27213
2022-07-29 07:30:00,31.0755,22.8083,5.18752
2022-07-29 08:00:00,28.7405,22.4235,5.21469
2022-07-29 08:30:00,30.5718,22.1961,5.53491
2022-07-29 09:00:00,29.1612,22.6592,6.64772
2022-07-29 09:30:00,28.8823,23.9569,7.36711
2022-07-29 10:00:00,34.2589,24.9658,8.1783
2022-07-29 10:30:00,35.1101,27.2871,8.28138
2022-07-29 11:00:00,40.0113,26.3436,8.27071
2022-07-29 11:30:00,38.0021,25.9021,7.0622
2022-07-29 12:00:00,39.8361,26.1865,5.77283
2022-07-29 12:30:00,44.4041,27.1181,5.46772
2022-07-29 13:00:00,49.7582,28.9329,5.36684
2022-07-29 13:30:00,52.979,30.4312,5.15586
2022-07-29 14:00:00,53.5686,31.1888,4.46871
2022-07-29 14:30:00,53.0816,31.5345,3.83909
2022-07-29 15:00:00,52.8905,31.7544,3.53024
2022-07-29 15:30:00,55.7201,31.0223,3.15477
2022-07-29 16:00:00,58.1428,31.3371,3.23252
2022-07-29 16:30:00,55.0467,32.6252,3.00723
2022-07-29 17:00:00,60.8614,32.1274,2.95829
2022-07-29 17:30:00,51.9669,32.2266,2.73194
2022-07-29 18:00:00,58.7539,32.7562,2.59211
2022-07-29 18:30:00,57.0263,30.5556,2.51013
2022-07-29 19:00:00,58.1646,32.7471,2.42311
2022-07-29 19:30:00,57.0998,32.3718,2.37624
2022-07-29 20:00:00,57.6344,31.7292,2.25309
2022-07-29 20:30:00,62.9482,31.7963,2.19749
2022-07-29 21:00:00,60.4658,31.4993,2.1178
2022-07-29 21:30:00,59.6375,32.8137,2.02935
2022-07-29 22:00:00,56.8241,29.6478,1.93649
2022-07-29 22:30:00,60.1607,30.336,1.90381
