timestamp,FN2O_C1_broadcast_middle_strip_by_gateway,FN2O_C3_broadcast_middle_with_inhibitor,FN2O_C4_broadcast_side_strip_with_inhibitor
2023-07-04 11:00:00,6.67374,171.163,132.693
2023-07-04 11:30:00,6.01013,163.244,128.01
2023-07-04 12:00:00,4.99725,155.622,128.028
2023-07-04 12:30:00,4.46295,147.332,122.331
2023-07-04 13:00:00,3.7795,135.142,116.815
2023-07-04 13:30:00,3.28406,125.124,120.645
2023-07-04 14:00:00,2.59649,103.788,101.739
2023-07-04 14:30:00,2.05605,90.9193,88.4383
2023-07-04 15:00:00,2.34378,99.6318,83.6063
2023-07-04 15:30:00,2.13232,91.7133,83.0015
2023-07-04 16:00:00,2.16745,84.1504,72.7943
2023-07-04 16:30:00,2.54644,87.8703,75.4211
2023-07-04 17:00:00,2.26403,92.6858,76.538
2023-07-04 17:30:00,1.9873,88.972,75.9778
2023-07-04 18:00:00,1.99042,88.9215,76.808
2023-07-04 18:30:00,1.87908,90.3332,77.2329
2023-07-04 19:00:00,1.76395,83.8228,71.1463
2023-07-04 19:30:00,1.73702,84.7204,74.1386
2023-07-04 20:00:00,1.70277,81.0008,71.7753
2023-07-04 20:30:00,1.69155,75.9864,60.9835
2023-07-04 21:00:00,1.60707,75.5092,61.4266
2023-07-04 21:30:00,1.53838,74.383,65.9784
2023-07-04 22:00:00,1.52638,73.5488,68.4817
2023-07-04 22:30:00,1.63007,72.75,63.699
2023-07-04 23:00:00,1.55456,69.4148,61.8681
2023-07-04 23:30:00,1.48589,72.1579,67.4024
2023-07-05 00:00:00,1.50582,70.1719,65.9279
2023-07-05 00:30:00,1.52037,72.0056,58.5467
2023-07-05 01:00:00,1.53044,70.3033,63.0821
2023-07-05 01:30:00,1.5772,70.1938,61.1186
2023-07-05 02:00:00,1.52881,64.9805,54.1757
2023-07-05 02:30:00,1.49713,67.2733,56.1136
2023-07-05 03:00:00,1.46572,69.7127,62.9814
2023-07-05 03:30:00,1.51209,67.4774,55.9249
2023-07-05 04:00:00,1.5021,63.3109,58.7586
2023-07-05 04:30:00,1.52119,64.3555,60.3252
2023-07-05 05:00:00,1.50917,65.7154,59.3605
2023-07-05 05:30:00,1.51866,64.9253,57.6171
2023-07-05 06:00:00,1.5936,61.4172,54.6894
2023-07-05 06:30:00,1.59385,62.3768,54.3462
2023-07-05 07:00:00,1.6826,64.4165,57.2405
2023-07-05 07:30:00,1.70079,67.9736,56.8384
2023-07-05 08:00:00,1.75583,71.1418,57.0379
2023-07-05 08:30:00,1.84669,76.1541,56.857
2023-07-05 09:00:00,2.0967,85.154,69.0529
2023-07-05 09:30:00,1.48634,40.8049,73.8959
2023-07-05 10:00:00,3.0855,90.4153,81.6928
2023-07-05 10:30:00,4.50347,109.569,91.4241
2023-07-05 11:00:00,5.58318,115.062,90.0203
2023-07-05 11:30:00,5.37843,114.679,91.5266
2023-07-05 12:00:00,4.99388,111.585,90.6245
2023-07-05 12:30:00,4.28098,102.64,86.917
2023-07-05 13:00:00,3.74713,94.6108,87.5829
2023-07-05 13:30:00,2.88554,84.9672,81.4416
2023-07-05 14:00:00,2.42787,73.5429,75.0092
2023-07-05 14:30:00,2.13825,65.2075,68.7426
2023-07-05 15:00:00,1.91092,57.9971,65.4901
2023-07-05 15:30:00,1.78892,53.0618,63.637
2023-07-05 16:00:00,1.68764,47.7588,56.8038
2023-07-05 16:30:00,1.62074,47.1054,59.3498
2023-07-05 17:00:00,1.41319,46.5677,56.7453
2023-07-05 17:30:00,1.3687,45.1839,52.5807
2023-07-05 18:00:00,1.30486,45.4459,49.13
2023-07-05 18:30:00,1.46038,47.5069,48.2644
2023-07-05 19:00:00,1.32744,47.5568,50.0983
2023-07-05 19:30:00,1.21495,49.4104,50.1017
2023-07-05 20:00:00,1.2985,51.0445,53.6143
2023-07-05 20:30:00,1.27791,49.9393,49.6826
2023-07-05 21:00:00,1.20949,50.6035,51.2515
2023-07-05 21:30:00,1.16415,52.6484,52.4083
2023-07-05 22:00:00,1.14825,52.5232,53.992
2023-07-05 22:30:00,1.19827,50.4996,50.8123
2023-07-05 23:00:00,1.16288,48.1928,49.5523
2023-07-05 23:30:00,1.11999,47.2894,48.8245
2023-07-06 00:00:00,1.15673,47.9328,48.0296
2023-07-06 00:30:00,1.15802,46.628,45.1922
2023-07-06 01:00:00,1.16468,46.1233,43.5641
2023-07-06 01:30:00,1.15967,44.5454,46.6494
2023-07-06 02:00:00,1.12864,45.1707,44.5826
2023-07-06 02:30:00,1.12252,43.9157,43.8477
2023-07-06 03:00:00,1.14979,42.5504,42.8959
2023-07-06 03:30:00,1.15136,42.6626,41.6202
2023-07-06 04:00:00,1.11515,41.2138,41.2659
2023-07-06 04:30:00,1.11569,41.2761,39.9906
2023-07-06 05:00:00,1.13828,40.7927,40.6969
2023-07-06 05:30:00,1.18006,40.6771,40.0948
2023-07-06 06:00:00,1.19753,40.4001,39.0793
2023-07-06 06:30:00,1.23178,41.655,39.2111
2023-07-06 07:00:00,1.27592,43.8405,40.4466
2023-07-06 07:30:00,1.30853,44.5666,42.2547
2023-07-06 08:00:00,1.33942,48.6535,43.5981
2023-07-06 08:30:00,1.46969,53.5494,46.7137
2023-07-06 09:00:00,1.60949,58.6724,53.0222
2023-07-06 09:30:00,1.74944,60.9547,56.5619
2023-07-06 10:00:00,1.73168,59.0054,56.6186
2023-07-06 10:30:00,1.80459,57.3338,63.9541
2023-07-06 11:00:00,1.64311,52.0182,63.0861
2023-07-06 11:30:00,1.57152,46.4378,63.5939
2023-07-06 12:00:00,1.48686,38.92,59.4293
2023-07-06 12:30:00,1.30036,31.7437,55.5205
2023-07-06 13:00:00,1.30282,27.0081,52.2912
2023-07-06 13:30:00,1.14195,22.0659,48.957
2023-07-06 14:00:00,1.20614,20.6543,44.0345
2023-07-06 14:30:00,1.04589,18.3426,42.4627
2023-07-06 15:00:00,1.05019,16.6877,40.1523
2023-07-06 15:30:00,1.15347,21.7311,37.514
2023-07-06 16:00:00,1.2035,26.7285,36.5276
2023-07-06 16:30:00,1.09675,30.108,35.9182
2023-07-06 17:00:00,1.08557,32.0737,33.5551
2023-07-06 17:30:00,1.02374,31.2932,33.6499
2023-07-06 18:00:00,0.991672,33.1366,34.3871
2023-07-06 18:30:00,1.09003,35.8205,36.9005
2023-07-06 19:00:00,1.15898,38.4688,40.6062
2023-07-06 19:30:00,1.07191,39.0281,37.7533
2023-07-06 20:00:00,1.00849,36.5905,38.2298
2023-07-06 20:30:00,1.04195,35.6704,36.0538
2023-07-06 21:00:00,1.01985,36.2065,36.4777
2023-07-06 21:30:00,1.05929,36.6112,43.0201
2023-07-06 22:00:00,1.03176,36.5547,36.7664
2023-07-06 22:30:00,1.04789,36.7688,38.5354
2023-07-06 23:00:00,1.04616,35.9943,40.639
2023-07-06 23:30:00,1.11183,37.9441,38.2188
2023-07-07 00:00:00,1.1177,35.7866,35.9705
2023-07-07 00:30:00,1.13252,36.1462,37.4347
2023-07-07 01:00:00,1.12032,28.5758,35.0055
2023-07-07 01:30:00,1.10417,37.1204,40.4055
2023-07-07 02:00:00,1.2065,39.6338,42.8741
2023-07-07 02:30:00,1.36451,39.2768,43.4406
2023-07-07 03:00:00,1.38701,39.8205,42.3676
2023-07-07 03:30:00,1.43186,41.2346,42.9691
2023-07-07 04:00:00,0.888575,25.8789,30.7758
2023-07-07 04:30:00,1.31548,33.967,44.8789
2023-07-07 05:00:00,1.43794,37.0034,45.5561
2023-07-07 05:30:00,1.42241,37.0561,44.5709
2023-07-07 06:00:00,1.52364,38.6218,45.8412
2023-07-07 06:30:00,1.58226,39.3362,45.9445
2023-07-07 07:00:00,1.56469,41.0932,47.1819
2023-07-07 07:30:00,1.46671,42.5861,42.9432
2023-07-07 08:00:00,1.66009,47.0664,42.2751
2023-07-07 08:30:00,1.77709,51.764,48.1831
2023-07-07 09:00:00,1.90981,53.9149,52.9252
2023-07-07 09:30:00,2.04177,54.862,53.2052
2023-07-07 10:00:00,0.591835,26.1441,51.5116
2023-07-07 10:30:00,1.14996,45.0744,40.6887
2023-07-07 11:00:00,1.5931,51.1184,47.8628
2023-07-07 11:30:00,2.14,55.6198,58.3137
2023-07-07 12:00:00,2.47969,58.592,69.619
2023-07-07 12:30:00,2.92156,66.7507,68.7076
2023-07-07 13:00:00,2.87149,66.6556,70.9675
2023-07-07 13:30:00,3.05733,68.9313,70.7925
2023-07-07 14:00:00,3.20999,74.0805,81.1306
